"TOA5","CR3000_Imn_Radiation","CR3000","1313387","CR3000.Std.08","CRD:radtower2015Final.CR3","59492","mean"
"TIMESTAMP","RECORD","batt_volt_Avg","batt_volt_Min","panel_temp_Avg","parup_flxdens_Avg","parup_totflx_Tot","pardn1_flxdens_Avg","pardn1_totflx_Tot","pardn2_flxdens_Avg","pardn2_totflx_Tot","CMP3up_Avg","CMP3dn1_Avg","CMP3dn2_Avg","SBTemp1_Avg","TargTemp1_Avg","TmV1_Avg","SBTemp2_Avg","TargTemp2_Avg","TmV2_Avg","Skyupc1_Avg","Skyupc2_Avg","Skyupc3_Avg","Skyupc4_Avg","Skydn1c1_Avg","Skydn1c2_Avg","Skydn1c3_Avg","Skydn1c4_Avg","Skydn2c1_Avg","Skydn2c2_Avg","Skydn2c3_Avg","Skydn2c4_Avg","NDVIrad1_Avg","NDVIrad2_Avg","t_hmp_Avg","h2o_hmp_Avg","rh_hmp_Avg","e_hmp_Avg","Tsoil_Avg(1)","Tsoil_Avg(2)"
"TS","RN","V","V","C","umol/s/m2","mmol/m2","umol/s/m2","mmol/m2","umol/s/m2","mmol/m2","W/m2","W/m2","W/m2","oC","oC corrected","","oC","oC corrected","","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","umol/m2/s","","","C","g/m^3","percent","kPa","C","C"
"","","Avg","Min","Avg","Avg","Tot","Avg","Tot","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-01-01 00:00:00",150739,12.09,12.08,-20.16,0.093,16.72,0.069,12.38,0.107,19.23,-3.376,-0.23,-0.443,-18.68,-22.23,-0.169,-18.62,-22.44,-0.185,"NAN",-0.145,-0.049,-0.142,0,-0.001,0,-0.001,0,0,0,0,"NAN","NAN",-18.56,0,0.697,0.099,-2.047,-2.448
"2024-01-01 00:30:00",150740,12.15,12.02,-19.95,0,0,0.058,10.45,0.112,20.21,-3.284,-0.319,-0.408,-19.16,-22.53,-0.16,-19.17,-22.8,-0.174,"NAN",-0.147,-0.038,-0.151,0,-0.001,0,-0.002,0,0,0,0,"NAN","NAN",-19.09,0,0.711,0.096,-1.969,-2.367
"2024-01-01 01:00:00",150741,12.09,12.08,-19.95,0.028,5.017,0.07,12.52,0.105,18.91,-3.291,-0.204,-0.472,-18.38,-22.17,-0.181,-18.41,-22.45,-0.196,"NAN",-0.151,-0.03,-0.136,0,-0.001,0,-0.002,0,0,0,0,"NAN","NAN",-18.27,0,0.695,0.101,-2.039,-2.442
"2024-01-01 01:30:00",150742,12.15,12.02,-19.86,0.009,1.672,0.022,3.887,0.102,18.33,-3.449,-0.522,-0.498,-19.5,-23.06,-0.169,-19.57,-23.24,-0.176,"NAN",-0.148,-0.036,-0.15,0,-0.001,-0.001,-0.002,0,0,0,0,"NAN","NAN",-19.52,0,0.712,0.093,-1.915,-2.313
"2024-01-01 02:00:00",150743,12.09,12.08,-20.17,0.028,5.017,0.04,7.264,0.093,16.73,-3.006,-0.247,-0.404,-18.71,-22.53,-0.182,-18.84,-22.76,-0.189,"NAN",-0.144,-0.028,-0.117,0,-0.001,0,-0.002,0,0,0,0,"NAN","NAN",-18.67,0,0.689,0.097,-1.985,-2.387
"2024-01-01 02:30:00",150744,12.14,12.02,-20.32,0,0,0.011,2.01,0.102,18.33,-3.192,-0.466,-0.511,-19.88,-23.25,-0.159,-20,-23.44,-0.164,"NAN",-0.137,-0.007,-0.142,0,-0.001,0,-0.002,0,0,0,0,"NAN","NAN",-19.88,0,0.722,0.092,-1.875,-2.272
"2024-01-01 03:00:00",150745,12.09,12.08,-20.41,0.028,5.017,0.075,13.57,0.112,20.16,-3.016,-0.255,-0.457,-18.63,-22.51,-0.184,-18.76,-22.74,-0.192,"NAN",-0.149,-0.031,-0.144,0,-0.001,0,-0.002,0,0,0,0,"NAN","NAN",-18.6,0,0.698,0.099,-2.068,-2.476
"2024-01-01 03:30:00",150746,12.14,12.02,-20.27,0.019,3.345,0.015,2.64,0.119,21.43,-3.071,-0.437,-0.42,-19.31,-23,-0.175,-19.46,-23.19,-0.179,"NAN",-0.151,-0.017,-0.141,0,-0.001,0,-0.002,0,0,0,0,"NAN","NAN",-19.36,0,0.709,0.094,-1.967,-2.367
"2024-01-01 04:00:00",150747,12.09,12.08,-20.55,0,0,0.045,8.05,0.062,11.2,-2.891,-0.409,-0.594,-19.44,-23.13,-0.175,-19.7,-23.4,-0.177,"NAN",-0.137,-0.042,-0.133,0,-0.001,-0.001,-0.002,0,0,0,0,"NAN","NAN",-19.43,0,0.712,0.094,-1.918,-2.317
