"TOA5","Heath_CR10XPB_6","","","","","","Met_half_hr"
"TIMESTAMP","RECORD","CS500Temp_AVG","CS500_RH_AVG","Pyranomet_AVG","Air107_AVG","Air107cor_AVG"
"TS","RN","","","","",""
"","","","","","",""
"2023-02-25 17:00:00",44700,-19.66,76.4,0.044,-19.79,-19.78
"2023-02-25 17:30:00",44701,-21.25,76.63,0.018,-21.4,-21.36
"2023-02-25 18:00:00",44702,-22.48,78.42,0.006,-22.73,-22.65
"2023-02-25 18:30:00",44703,-23.97,79.58,0.001,-24.22,-24.1
"2023-02-25 19:00:00",44704,-25.59,80.5,0,-25.77,-25.61
"2023-02-25 19:30:00",44705,-26.06,79.64,0,-26.27,-26.1
"2023-02-25 20:00:00",44706,-25.74,79.89,0,-25.92,-25.75
"2023-02-25 20:30:00",44707,-25.31,79.71,0,-25.52,-25.36
"2023-02-25 21:00:00",44708,-25.38,79.64,0,-25.57,-25.41
"2023-02-25 21:30:00",44709,-25.51,79.4,0,-25.69,-25.53
"2023-02-25 22:00:00",44710,-25.45,79.26,0,-25.68,-25.52
"2023-02-25 22:30:00",44711,-25.37,79.13,0,-25.68,-25.51
"2023-02-25 23:00:00",44712,-25.69,78.93,0,-25.97,-25.81
"2023-02-25 23:30:00",44713,-25.93,79.04,0,-26.15,-25.98
"2023-02-26 00:00:00",44714,-26.41,78.48,0,-26.65,-26.48
"2023-02-26 00:30:00",44715,-26.38,78.48,0,-26.65,-26.47
"2023-02-26 01:00:00",44716,-26.65,78.09,0,-26.92,-26.74
"2023-02-26 01:30:00",44717,-26.84,77.65,0,-27.1,-26.91
"2023-02-26 02:00:00",44718,-27.28,77.13,0,-27.56,-27.36
"2023-02-26 02:30:00",44719,-27.62,76.72,0,-27.89,-27.69
"2023-02-26 03:00:00",44720,-27.24,76.55,0,-27.5,-27.32
"2023-02-26 03:30:00",44721,-26.7,76.69,0,-26.91,-26.73
"2023-02-26 04:00:00",44722,-25.94,76.89,0,-26.17,-26
"2023-02-26 04:30:00",44723,-25.81,76.19,0,-26.04,-25.88
"2023-02-26 05:00:00",44724,-25.74,75.19,0,-25.97,-25.81
"2023-02-26 05:30:00",44725,-25.65,73.17,0,-25.86,-25.7
"2023-02-26 06:00:00",44726,-25.98,75.27,0,-26.2,-26.02
"2023-02-26 06:30:00",44727,-25.5,70.95,0,-25.66,-25.5
"2023-02-26 07:00:00",44728,-25.51,70.48,0,-25.73,-25.57
"2023-02-26 07:30:00",44729,-25.7,72.96,0,-25.9,-25.73
"2023-02-26 08:00:00",44730,-25.8,73.4,0,-25.98,-25.81
"2023-02-26 08:30:00",44731,-25.4,72.94,0.002,-25.56,-25.4
"2023-02-26 09:00:00",44732,-25.12,71.18,0.008,-25.27,-25.12
"2023-02-26 09:30:00",44733,-25.29,70.5,0.02,-25.45,-25.29
"2023-02-26 10:00:00",44734,-25.17,69.77,0.035,-25.31,-25.16
"2023-02-26 10:30:00",44735,-25,70.04,0.05,-25.16,-25.01
"2023-02-26 11:00:00",44736,-24.99,66.71,0.074,-25.17,-25.02
"2023-02-26 11:30:00",44737,-24.85,65.31,0.097,-25.06,-24.92
"2023-02-26 12:00:00",44738,-24.76,66.2,0.117,-24.99,-24.85
"2023-02-26 12:30:00",44739,-24.67,65.92,0.132,-24.92,-24.78
"2023-02-26 13:00:00",44740,-24.43,66.62,0.147,-24.69,-24.56
"2023-02-26 13:30:00",44741,-24.44,69.45,0.129,-24.68,-24.54
"2023-02-26 14:00:00",44742,-24.21,69.98,0.104,-24.4,-24.28
"2023-02-26 14:30:00",44743,-24.11,72.22,0.082,-24.27,-24.15
"2023-02-26 15:00:00",44744,-24.01,74.01,0.091,-24.18,-24.06
"2023-02-26 15:30:00",44745,-23.87,74.52,0.096,-24.04,-23.92
