"TOA5","Heath_CR10XPB_6","","","","","","Soil_hourly"
"TIMESTAMP","RECORD","CS616_CTuSec_AVG","CS616_NPuSec_AVG","CS616_CTvw_AVG","CS616_NPvw_AVG","TrimeMo_AVG","Battery_V_AVG","TC1_5cm_AVG","TC1_10cm_AVG","TC2_5cm_AVG","TC2_10cm_AVG","CTcanopy_AVG","NP1_5cm_AVG","NP1_10cm_AVG","NP2_5c_AVG","NP2_10cm_AVG","NP3_5cmSH_AVG","NP310cmSH_AVG","NP4_5cm_AVG","NP4_10cm_AVG","NP_within_AVG","NP_above_AVG","Vs_Vx_AVG"
"TS","RN","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-08 15:00:00",7065,17.03,19.37,0.029,0.074,0,12.09,-6.963,-6.862,-6.935,-6.959,-10.25,-6.712,-6.64,-7.973,-7.981,-5.964,-6.007,-7.461,-7.349,-10.73,-16.34,0.001
"2023-01-08 18:00:00",7066,17.03,19.37,0.029,0.074,0,12.09,-6.95,-6.855,-6.922,-6.946,-10.49,-6.713,-6.641,-7.974,-7.981,-5.972,-6.023,-7.453,-7.341,-11.38,-18.37,0.001
"2023-01-08 21:00:00",7067,17.03,19.37,0.029,0.074,0,12.08,-6.924,-6.831,-6.894,-6.92,-10.82,-6.697,-6.625,-7.963,-7.975,-5.965,-6.019,-7.436,-7.33,-11.75,-19.4,0.001
"2023-01-09 00:00:00",7068,17.03,19.37,0.029,0.074,0,12.07,-6.907,-6.815,-6.878,-6.905,-11.18,-6.692,-6.615,-7.972,-7.977,-5.957,-6.016,-7.432,-7.316,-11.75,-20.16,0.001
"2023-01-09 03:00:00",7069,17.03,19.37,0.029,0.074,0,12.07,-6.897,-6.807,-6.868,-6.898,-11.37,-6.689,-6.612,-7.982,-7.983,-5.952,-6.013,-7.438,-7.323,-12.41,-21.03,0.001
"2023-01-09 06:00:00",7070,17.03,19.37,0.029,0.074,0,12.06,-6.882,-6.792,-6.856,-6.88,-11.57,-6.68,-6.601,-7.981,-7.979,-5.936,-5.995,-7.44,-7.331,-12.91,-21.54,0.001
"2023-01-09 09:00:00",7071,17.03,19.37,0.029,0.074,0,12.06,-6.875,-6.784,-6.846,-6.868,-11.99,-6.667,-6.571,-7.953,-7.932,-5.869,-5.893,-7.445,-7.342,-12.92,-24.69,0.001
"2023-01-09 12:00:00",7072,17.03,19.37,0.029,0.074,0,12.04,-6.9,-6.806,-6.87,-6.892,-13.1,-6.701,-6.602,-8.03,-7.992,-5.897,-5.929,-7.514,-7.4,-13.36,-30.75,0
"2023-01-09 15:00:00",7073,17.03,19.37,0.029,0.074,0,12.04,-6.924,-6.831,-6.904,-6.931,-14.04,-6.758,-6.664,-8.18,-8.17,-6.014,-6.106,-7.664,-7.507,-14.16,-28.62,0
"2023-01-09 18:00:00",7074,17.03,19.37,0.029,0.074,0,12.03,-6.891,-6.804,-6.895,-6.925,-14.25,-6.746,-6.642,-8.22,-8.18,-5.96,-6.032,-7.666,-7.513,-14.52,-28.42,0
"2023-01-09 21:00:00",7075,17.03,19.37,0.029,0.074,0,12.03,-6.919,-6.833,-6.939,-6.969,-14.66,-6.785,-6.663,-8.27,-8.22,-5.953,-6.005,-7.747,-7.59,-14.94,-31.1,0
"2023-01-10 00:00:00",7076,17.03,19.37,0.029,0.074,0,12.01,-6.959,-6.874,-6.991,-7.023,-15.48,-6.84,-6.714,-8.38,-8.32,-6.004,-6.069,-7.844,-7.677,-15.59,-34.37,0
"2023-01-10 03:00:00",7077,17.02,19.37,0.029,0.074,0,12.01,-7.004,-6.917,-7.046,-7.084,-16.29,-6.904,-6.781,-8.53,-8.48,-6.106,-6.217,-8.01,-7.807,-16.49,-33.17,0
