"TOA5","MAT06_BLK1_CR1000_8","CR1000","40166","CR1000.Std.28","CPU:GH_Soilmo_temp_ver-1-2023-06-14.CR1","37555","GH_PlotSoil"
"TIMESTAMP","RECORD","GHCT_1_10cm_Avg","GHCT_2_10cm_Avg","GHCT_3_10cm_Avg","GH_1_10cm_Avg","GH_2_10cm_Avg","GH_3_10cm_Avg","GHCT_1_10cm_VW","GHCT_1_10cm_PA_uS","GHCT_2_10cm_VW","GHCT_2_10cm_PA_uS","GHCT_3_10cm_VW","GHCT_3_10cm_PA_uS","GH_1_10cm_VW","GH_1_10cm_PA_uS","GH_2_10cm_VW","GH_2_10cm_PA_uS","GH_3_10cm_VW","GH_3_10cm_PA_uS"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-16 19:00:00",0,4.037,0.884,2.228,-0.257,0.799,15.79,0.229,25.51,0.238,25.82,0.086,19.94,0.136,22.07,0.082,19.73,0.102,20.64
"2023-06-16 20:00:00",1,3.924,0.796,2.11,-0.257,0.782,15.55,0.23,25.57,0.239,25.85,0.087,19.95,0.136,22.07,0.082,19.72,0.102,20.66
"2023-06-16 21:00:00",2,3.76,0.703,1.988,-0.254,0.772,13.43,0.231,25.59,0.239,25.88,0.087,19.97,0.136,22.07,0.082,19.72,0.102,20.66
"2023-06-16 22:00:00",3,3.554,0.587,1.867,-0.265,0.737,9.54,0.232,25.63,0.24,25.89,0.087,19.97,0.136,22.07,0.082,19.72,0.102,20.66
"2023-06-16 23:00:00",4,3.316,0.458,1.722,-0.262,0.696,6.91,0.233,25.66,0.24,25.91,0.087,19.95,0.136,22.07,0.081,19.71,0.103,20.67
"2023-06-17 00:00:00",5,3.026,0.314,1.519,-0.264,0.64,4.735,0.233,25.68,0.24,25.91,0.086,19.92,0.136,22.08,0.082,19.72,0.102,20.66
"2023-06-17 01:00:00",6,2.682,0.169,1.269,-0.268,0.579,3.587,0.234,25.7,0.241,25.93,0.085,19.87,0.136,22.07,0.081,19.71,0.102,20.64
"2023-06-17 02:00:00",7,2.308,0.065,1.002,-0.262,0.522,3.782,0.234,25.7,0.241,25.92,0.084,19.82,0.136,22.07,0.082,19.72,0.102,20.64
"2023-06-17 03:00:00",8,1.931,0.011,0.752,-0.256,0.474,4.715,0.234,25.7,0.241,25.93,0.082,19.73,0.135,22.05,0.082,19.72,0.102,20.63
"2023-06-17 04:00:00",9,1.599,-0.015,0.549,-0.257,0.442,6.858,0.234,25.7,0.241,25.92,0.081,19.68,0.135,22.05,0.082,19.72,0.101,20.62
"2023-06-17 05:00:00",10,1.352,-0.005,0.423,-0.255,0.429,9.63,0.233,25.68,0.24,25.91,0.08,19.65,0.135,22.05,0.082,19.73,0.101,20.62
"2023-06-17 06:00:00",11,1.218,0.053,0.437,-0.249,0.444,11.73,0.233,25.65,0.24,25.89,0.08,19.63,0.135,22.03,0.082,19.72,0.101,20.62
"2023-06-17 07:00:00",12,1.213,0.146,0.632,-0.247,0.478,14.61,0.231,25.59,0.239,25.88,0.079,19.61,0.135,22.03,0.082,19.73,0.101,20.6
"2023-06-17 08:00:00",13,1.341,0.297,0.967,-0.245,0.532,16.39,0.229,25.53,0.239,25.88,0.079,19.59,0.134,22.01,0.082,19.75,0.101,20.6
"2023-06-17 09:00:00",14,1.571,0.555,1.309,-0.243,0.612,19.59,0.227,25.44,0.239,25.87,0.078,19.56,0.134,22,0.082,19.73,0.101,20.62
"2023-06-17 10:00:00",15,1.883,0.84,1.628,-0.242,0.715,23.67,0.224,25.35,0.239,25.87,0.076,19.46,0.134,21.99,0.083,19.76,0.101,20.6
"2023-06-17 11:00:00",16,2.241,1.101,1.928,-0.245,0.86,27.26,0.221,25.25,0.239,25.87,0.076,19.46,0.134,21.99,0.083,19.76,0.101,20.6
"2023-06-17 12:00:00",17,2.725,1.346,2.314,-0.244,1.068,27.25,0.218,25.15,0.239,25.87,0.077,19.48,0.133,21.97,0.083,19.76,0.101,20.62
"2023-06-17 13:00:00",18,3.31,1.504,2.747,-0.237,1.275,30.56,0.214,25.02,0.239,25.85,0.077,19.48,0.133,21.97,0.083,19.78,0.101,20.62
"2023-06-17 14:00:00",19,3.749,1.283,2.837,-0.254,1.368,11.92,0.215,25.04,0.239,25.85,0.078,19.53,0.134,21.99,0.083,19.76,0.102,20.63
"2023-06-17 15:00:00",20,4.047,1.047,2.749,-0.248,1.354,13.66,0.216,25.08,0.239,25.87,0.08,19.63,0.134,22,0.083,19.76,0.102,20.66
"2023-06-17 16:00:00",21,4.112,0.978,2.672,-0.242,1.289,13.86,0.219,25.17,0.24,25.91,0.084,19.83,0.135,22.03,0.083,19.76,0.103,20.71
"2023-06-17 17:00:00",22,4.15,1.084,2.615,-0.233,1.229,17.31,0.221,25.25,0.241,25.93,0.088,20.03,0.135,22.03,0.083,19.76,0.104,20.72
"2023-06-17 18:00:00",23,4.082,0.947,2.4,-0.243,1.151,12.15,0.223,25.32,0.242,25.97,0.092,20.2,0.135,22.03,0.083,19.76,0.104,20.72
"2023-06-17 19:00:00",24,4.054,0.862,2.272,-0.243,1.114,13.76,0.226,25.42,0.244,26.01,0.095,20.35,0.135,22.04,0.083,19.76,0.104,20.72
"2023-06-17 20:00:00",25,3.969,0.82,2.195,-0.239,1.079,12.8,0.229,25.51,0.245,26.06,0.098,20.47,0.135,22.03,0.083,19.78,0.104,20.74
"2023-06-17 21:00:00",26,3.83,0.709,2.091,-0.245,1.033,9.48,0.232,25.62,0.246,26.08,0.1,20.56,0.135,22.04,0.083,19.76,0.104,20.74
"2023-06-17 22:00:00",27,3.673,0.621,1.94,-0.242,0.999,8.62,0.235,25.73,0.246,26.11,0.102,20.64,0.135,22.04,0.083,19.78,0.104,20.74
"2023-06-17 23:00:00",28,3.463,0.542,1.769,-0.24,0.946,7.637,0.238,25.84,0.248,26.15,0.103,20.68,0.135,22.04,0.083,19.78,0.104,20.74
"2023-06-18 00:00:00",29,3.23,0.467,1.604,-0.242,0.883,7.242,0.242,25.96,0.248,26.16,0.103,20.7,0.135,22.04,0.083,19.78,0.104,20.75
"2023-06-18 01:00:00",30,2.971,0.383,1.436,-0.243,0.818,4.315,0.245,26.06,0.248,26.18,0.103,20.67,0.135,22.05,0.083,19.78,0.104,20.74
"2023-06-18 02:00:00",31,2.694,0.283,1.255,-0.244,0.743,1.969,0.247,26.14,0.247,26.14,0.101,20.62,0.135,22.04,0.083,19.78,0.104,20.74
"2023-06-18 03:00:00",32,2.401,0.194,1.074,-0.245,0.664,0.649,0.248,26.16,0.248,26.15,0.1,20.55,0.135,22.04,0.083,19.78,0.104,20.74
"2023-06-18 04:00:00",33,2.116,0.144,0.899,-0.241,0.589,2.53,0.248,26.18,0.248,26.16,0.098,20.47,0.135,22.04,0.083,19.78,0.104,20.74
"2023-06-18 05:00:00",34,1.903,0.167,0.778,-0.232,0.542,7.977,0.248,26.18,0.248,26.18,0.096,20.37,0.135,22.04,0.083,19.79,0.104,20.72
"2023-06-18 06:00:00",35,1.769,0.247,0.765,-0.233,0.526,10.95,0.248,26.16,0.248,26.16,0.094,20.3,0.135,22.04,0.083,19.79,0.103,20.71
"2023-06-18 07:00:00",36,1.766,0.338,0.92,-0.228,0.552,13.55,0.248,26.16,0.248,26.16,0.093,20.24,0.135,22.03,0.083,19.8,0.104,20.72
"2023-06-18 08:00:00",37,1.879,0.472,1.182,-0.224,0.62,16.8,0.248,26.15,0.248,26.15,0.091,20.17,0.135,22.03,0.083,19.8,0.104,20.72
"2023-06-18 09:00:00",38,2.036,0.703,1.426,-0.227,0.726,18.67,0.244,26.03,0.249,26.19,0.09,20.09,0.134,22,0.084,19.82,0.104,20.72
