"TOA5","MAT06_BLK1_CR1000_8","CR1000","40166","CR1000.Std.28","CPU:GH_Soilmo_temp_ver-1-2023-06-14.CR1","37555","Soil_plots"
"TIMESTAMP","RECORD","RTempC_Avg","CT_1_sur_Avg","CT_1_10CM_Avg","CT_1_20CM_Avg","CT_2_SUR_Avg","CT_2_10CM_Avg","CT_2_20CM_Avg","CT_3_SUR_Avg","CT_3_10CM_Avg","CT_3_20CM_Avg","F10_1_SUR_Avg","F10_1_10CM_Avg","F10_1_20CM_Avg","F10_2_SUR_Avg","F10_2_10CM_Avg","F10_2_20CM_Avg","F10_3_SUR_Avg","F10_3_10CM_Avg","F10_3_20CM_Avg"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-06-16 19:00:00",0,12.59,4.005,0.366,-0.443,5.048,0.209,-0.549,6.539,0.16,3.506,1.577,-0.201,-0.507,3.461,-0.071,-0.451,6.092,-0.15,-0.549
"2023-06-16 20:00:00",1,13.64,4.089,0.381,-0.427,4.89,0.209,-0.541,5.896,0.152,3.13,1.503,-0.192,-0.482,3.271,-0.054,-0.436,5.591,-0.139,-0.539
"2023-06-16 21:00:00",2,14.29,4.566,0.404,-0.414,4.676,0.208,-0.532,5.475,0.142,2.659,1.415,-0.168,-0.431,3.034,-0.03,-0.416,5.027,-0.123,-0.523
"2023-06-16 22:00:00",3,12.63,5.267,0.394,-0.394,4.393,0.217,-0.506,4.701,0.158,2.373,1.414,-0.065,-0.333,2.894,0.02,-0.367,4.653,-0.068,-0.475
"2023-06-16 23:00:00",4,9.98,4.139,0.366,-0.404,3.881,0.192,-0.515,3.476,0.129,2.022,1.227,-0.095,-0.348,2.382,0.009,-0.384,3.602,-0.087,-0.493
"2023-06-17 00:00:00",5,7.67,2.986,0.35,-0.408,3.257,0.177,-0.517,2.488,0.114,1.615,1.003,-0.097,-0.358,1.799,-0.001,-0.395,2.5,-0.094,-0.501
"2023-06-17 01:00:00",6,5.251,1.95,0.327,-0.418,2.547,0.149,-0.526,1.712,0.088,1.156,0.746,-0.092,-0.374,1.23,-0.015,-0.408,1.44,-0.104,-0.512
"2023-06-17 02:00:00",7,3.718,1.202,0.283,-0.441,1.851,0.104,-0.547,1.033,0.041,0.69,0.465,-0.142,-0.424,0.693,-0.048,-0.441,0.6,-0.136,-0.541
