"TOA5","MAT06_BLK3_CR1000_3","CR1000","16829","CR1000.Std.15","CPU:LMAT_Blk3_2021-07-09_moist-soil TC.CR1","25117","MetData"
"TIMESTAMP","RECORD","BattV_Avg","AirTControl_Avg","RHCT","Air_GH_Avg","RH_GH","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT"
"TS","RN","Volts","Deg C","%","Deg C","%","meters/second","Deg","Deg"
"","","Avg","Avg","Smp","Avg","Smp","WVc","WVc","WVc"
"2023-09-01 00:00:00",37406,13.13,5.599,100,5.821,100,0.926,184.7,14.34
"2023-09-01 00:30:00",37407,13.1,5.667,88.7,5.759,100,1.378,203.2,6.392
"2023-09-01 01:00:00",37408,13.08,5.424,92.8,5.623,98.2,1.529,198.9,9.11
"2023-09-01 01:30:00",37409,13.05,5.275,92.6,5.514,98.4,1.553,196.4,7.462
"2023-09-01 02:00:00",37410,13.03,5.383,91.3,5.517,97.4,1.415,190.7,10.49
"2023-09-01 02:30:00",37411,13,5.605,86.4,5.641,95,1.341,204.1,5.604
"2023-09-01 03:00:00",37412,12.98,5.718,89.5,5.788,96.1,1.346,182.2,17.41
"2023-09-01 03:30:00",37413,12.95,5.178,93.1,5.294,99.1,1.207,188.4,7.414
"2023-09-01 04:00:00",37414,12.93,4.9,91.8,5.059,99.3,1.558,183.6,13.58
"2023-09-01 04:30:00",37415,12.91,5.29,91.2,5.497,97.2,1.821,191.8,6.835
"2023-09-01 05:00:00",37416,12.88,5.321,91.2,5.538,97.4,1.446,191.2,9.85
"2023-09-01 05:30:00",37417,12.86,5.276,90.4,5.489,96.5,1.58,181.5,8.55
"2023-09-01 06:00:00",37418,12.84,5.291,89.4,5.459,96.9,1.338,190.6,12.58
"2023-09-01 06:30:00",37419,12.83,5.281,90.8,5.417,97.1,0.533,140.2,56.48
"2023-09-01 07:00:00",37420,12.84,5.458,92.1,5.771,97.6,0.748,152.7,19.3
"2023-09-01 07:30:00",37421,12.85,5.812,91.8,6.204,97.1,0.601,159.1,10.26
"2023-09-01 08:00:00",37422,12.87,6.225,90,6.598,96.2,0.63,193.5,20.76
"2023-09-01 08:30:00",37423,12.91,6.764,86.7,7.223,92.2,1.12,192.8,13.52
"2023-09-01 09:00:00",37424,13.03,7.101,87.7,7.651,92.7,1.045,200.5,22.85
"2023-09-01 09:30:00",37425,13.16,7.318,87.1,7.885,93,1.213,209,30.36
"2023-09-01 10:00:00",37426,13.32,7.463,84.1,8.15,89.7,1.269,235,18.28
"2023-09-01 10:30:00",37427,13.57,7.985,85.2,8.72,90.1,0.758,258.7,46.9
"2023-09-01 11:00:00",37428,13.79,8.17,87.7,8.88,92,1.227,349,39.42
"2023-09-01 11:30:00",37429,13.8,8.11,85.9,8.8,91.2,1.007,33.53,27.99
"2023-09-01 12:00:00",37430,14.22,8.35,85.5,9.07,90.2,1.382,11.2,22.09
"2023-09-01 12:30:00",37431,14.35,8.41,82.9,9.09,87.9,2.012,344.8,22.29
"2023-09-01 13:00:00",37432,14.34,8.57,82.8,9.24,88.3,2.122,328.7,15.53
"2023-09-01 13:30:00",37433,14.33,8.61,80.3,9.31,88.5,2.042,336.3,26.45
"2023-09-01 14:00:00",37434,14.31,8.67,77.36,9.35,85.3,2.455,335.4,26.09
"2023-09-01 14:30:00",37435,14.31,8.53,85.7,9.2,91.1,2.359,343.8,21.58
"2023-09-01 15:00:00",37436,14.31,8.3,87.9,8.87,92.6,2.718,343.8,14.24
"2023-09-01 15:30:00",37437,14.36,8.19,86.5,8.93,92.3,2.502,7.707,11.61
"2023-09-01 16:00:00",37438,14.35,8.42,84.3,9.26,88.8,2.35,12.67,12.18
"2023-09-01 16:30:00",37439,14.04,8.47,79.52,9.15,85.1,2.301,7.61,9.29
"2023-09-01 17:00:00",37440,13.74,8.46,89.3,9.06,93.4,2.539,3.997,10.11
"2023-09-01 17:30:00",37441,13.66,7.828,93.6,8.4,97.5,3.013,359.9,18.52
"2023-09-01 18:00:00",37442,13.6,7.483,99,8.03,99.7,3.154,350.1,11.44
"2023-09-01 18:30:00",37443,13.55,7.222,99.6,7.725,100,3.256,349.9,18.84
"2023-09-01 19:00:00",37444,13.5,6.914,99.6,7.407,100,3.385,354,10.37
"2023-09-01 19:30:00",37445,13.45,6.678,99.4,7.16,100,2.876,5.653,15.15
"2023-09-01 20:00:00",37446,13.41,6.527,99.5,6.957,100,2.504,20.94,8.41
"2023-09-01 20:30:00",37447,13.36,6.165,100,6.618,100,2.313,27.07,9.48
"2023-09-01 21:00:00",37448,13.32,5.811,100,6.295,100,2.043,24.35,12.09
"2023-09-01 21:30:00",37449,13.29,5.411,100,5.917,100,2.769,353.9,12.72
"2023-09-01 22:00:00",37450,13.26,4.813,100,5.294,100,3.417,346.9,7.648
"2023-09-01 22:30:00",37451,13.23,4.293,100,4.795,100,3.271,343.7,9.48
"2023-09-01 23:00:00",37452,13.2,3.92,100,4.418,100,3.194,339.5,8.45
"2023-09-01 23:30:00",37453,13.17,3.613,100,4.094,100,2.774,334.4,8.56
"2023-09-02 00:00:00",37454,13.15,3.435,100,3.883,100,3.276,336.8,8.66
"2023-09-02 00:30:00",37455,13.12,3.029,100,3.489,100,3.432,348.2,8.79
"2023-09-02 01:00:00",37456,13.09,2.729,100,3.155,100,2.304,332.7,12.93
"2023-09-02 01:30:00",37457,13.07,2.479,100,2.759,100,1.315,314.4,25.32
"2023-09-02 02:00:00",37458,13.04,2.454,100,2.813,100,2.049,276.5,9.66
