"TOA5","MAT06_BLK3_CR1000_3","CR1000","16829","CR1000.Std.15","CPU:LMAT_Blk3_2021-07-09_moist-soil TC.CR1","25117","SoilData"
"TIMESTAMP","RECORD","T107_C_CT1_Avg","T107_C_CT2_Avg","T107_C_CT3_Avg","T107_C_GH1_Avg","T107_C_GH2_Avg","T107_C_GH3_Avg","VW_CT_Avg","PA_uS_CT_Avg","VW_GH_Avg","PA_uS_GH_Avg","CT1_SUR_AVG_Avg","CT1_10cm_AVG_Avg","CT1_20cm_AVG_Avg","CT2_SUR_AVG_Avg","CT2_10cm_AVG_Avg","CT2_20cm_AVG_Avg","CT3_SUR_AVG_Avg","CT3_10cm_AVG_Avg","CT3_20cm_AVG_Avg","NP1_SUR_AVG_Avg","NP1_10cm_AVG_Avg","NP1_20cm_AVG_Avg","NP2_SUR_AVG_Avg","NP2_10cm_AVG_Avg","NP2_20cm_AVG_Avg","NP3_SUR_cm_AVG_Avg","NP3_10_AVG_Avg","NP3_20cm_AVG_Avg","RTempC_Avg"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","uSec","","uSec","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-01-01 00:00:00",4290,-5.445,-5.664,-6.913,-2.875,-2.428,-2.467,0.032,0.756,0.056,0.799,-3.061,-3.261,-2.016,-4.545,-2.66,-2.137,-5.957,-4.161,-4.1,-4.309,-3.768,-3.619,-5.448,-4.668,-4.047,-5.386,-4.966,-4.353,-18.3
"2023-01-01 03:00:00",4291,-5.464,-5.694,-6.964,-2.874,-2.417,-2.456,0.032,0.756,0.056,0.799,-3.054,-3.246,-2.026,-4.53,-2.662,-2.139,-5.95,-4.163,-4.093,-4.32,-3.778,-3.63,-5.45,-4.661,-4.049,-5.406,-4.977,-4.373,-18.77
"2023-01-01 06:00:00",4292,-5.504,-5.734,-7.025,-2.865,-2.417,-2.456,0.032,0.756,0.056,0.799,-3.034,-3.234,-2.015,-4.51,-2.641,-2.136,-5.956,-4.142,-4.072,-4.3,-3.758,-3.618,-5.438,-4.65,-4.038,-5.403,-4.974,-4.361,-19.03
"2023-01-01 09:00:00",4293,-5.534,-5.773,-7.085,-2.864,-2.417,-2.456,0.032,0.756,0.056,0.799,-3.038,-3.221,-2.019,-4.514,-2.646,-2.141,-5.978,-4.147,-4.077,-4.304,-3.78,-3.623,-5.443,-4.654,-4.042,-5.425,-4.987,-4.374,-19.14
"2023-01-01 12:00:00",4294,-5.573,-5.813,-7.156,-2.864,-2.426,-2.456,0.032,0.756,0.056,0.799,-3.039,-3.23,-2.028,-4.524,-2.655,-2.15,-6.014,-4.148,-4.095,-4.322,-3.789,-3.632,-5.461,-4.664,-4.051,-5.452,-5.014,-4.392,-19.21
"2023-01-01 15:00:00",4295,-5.609,-5.859,-7.224,-2.86,-2.422,-2.451,0.033,0.756,0.056,0.799,-3.033,-3.225,-2.031,-4.536,-2.649,-2.153,-6.052,-4.177,-4.107,-4.326,-3.792,-3.653,-5.473,-4.667,-4.054,-5.473,-5.035,-4.404,-19.47
"2023-01-01 18:00:00",4296,-5.649,-5.909,-7.285,-2.869,-2.442,-2.471,0.033,0.756,0.056,0.799,-3.045,-3.228,-2.025,-4.547,-2.661,-2.165,-6.082,-4.18,-4.119,-4.337,-3.804,-3.664,-5.485,-4.679,-4.066,-5.511,-5.055,-4.425,-19.82
"2023-01-01 21:00:00",4297,-5.688,-5.948,-7.345,-2.878,-2.44,-2.479,0.033,0.756,0.057,0.799,-3.043,-3.227,-2.033,-4.564,-2.66,-2.172,-6.116,-4.196,-4.126,-4.354,-3.829,-3.672,-5.501,-4.695,-4.065,-5.528,-5.072,-4.441,-20.08
"2023-01-02 00:00:00",4298,-5.724,-6.004,-7.402,-2.894,-2.456,-2.485,0.033,0.756,0.057,0.799,-3.059,-3.251,-2.058,-4.597,-2.685,-2.188,-6.175,-4.238,-4.168,-4.413,-3.871,-3.679,-5.517,-4.711,-4.09,-5.561,-5.105,-4.474,-19.48
"2023-01-02 03:00:00",4299,-5.768,-6.059,-7.467,-2.908,-2.471,-2.51,0.033,0.756,0.057,0.799,-3.061,-3.253,-2.051,-4.607,-2.695,-2.199,-6.212,-4.249,-4.179,-4.415,-3.873,-3.681,-5.527,-4.712,-4.091,-5.588,-5.132,-4.485,-18.81
"2023-01-02 06:00:00",4300,-5.797,-6.108,-7.507,-2.917,-2.489,-2.518,0.033,0.756,0.057,0.799,-3.069,-3.261,-2.05,-4.624,-2.694,-2.206,-6.246,-4.265,-4.195,-4.44,-3.898,-3.688,-5.543,-4.72,-4.09,-5.596,-5.14,-4.501,-18.64
"2023-01-02 09:00:00",4301,-5.82,-6.141,-7.52,-2.939,-2.502,-2.531,0.033,0.756,0.057,0.799,-3.067,-3.267,-2.057,-4.639,-2.701,-2.213,-6.27,-4.272,-4.21,-4.464,-3.922,-3.695,-5.55,-4.727,-4.106,-5.62,-5.164,-4.516,-18.24
"2023-01-02 12:00:00",4302,-5.85,-6.181,-7.551,-2.95,-2.512,-2.551,0.033,0.756,0.057,0.799,-3.077,-3.278,-2.058,-4.658,-2.72,-2.215,-6.298,-4.291,-4.23,-4.483,-3.924,-3.714,-5.569,-4.754,-4.125,-5.648,-5.184,-4.536,-18.09
"2023-01-02 15:00:00",4303,-5.868,-6.199,-7.549,-2.957,-2.529,-2.558,0.033,0.756,0.057,0.799,-3.085,-3.286,-2.066,-4.666,-2.719,-2.223,-6.314,-4.299,-4.237,-4.482,-3.932,-3.722,-5.586,-4.762,-4.141,-5.656,-5.2,-4.561,-18.3
"2023-01-02 18:00:00",4304,-5.875,-6.207,-7.546,-2.974,-2.536,-2.575,0.033,0.756,0.057,0.799,-3.11,-3.302,-2.082,-4.7,-2.744,-2.239,-6.34,-4.324,-4.263,-4.508,-3.957,-3.756,-5.612,-4.788,-4.158,-5.682,-5.226,-4.587,-18.56
"2023-01-02 21:00:00",4305,-5.879,-6.22,-7.56,-2.997,-2.55,-2.588,0.033,0.756,0.057,0.799,-3.115,-3.316,-2.088,-4.714,-2.749,-2.253,-6.345,-4.347,-4.277,-4.522,-3.971,-3.761,-5.625,-4.802,-4.172,-5.687,-5.248,-4.6,-18.54
"2023-01-03 00:00:00",4306,-5.903,-6.224,-7.564,-3.001,-2.563,-2.602,0.033,0.756,0.057,0.799,-3.112,-3.312,-2.093,-4.719,-2.754,-2.258,-6.35,-4.352,-4.282,-4.535,-3.976,-3.766,-5.621,-4.806,-4.168,-5.7,-5.244,-4.614,-18.32
"2023-01-03 03:00:00",4307,-5.913,-6.224,-7.574,-3.011,-2.583,-2.612,0.033,0.756,0.057,0.799,-3.117,-3.317,-2.089,-4.715,-2.76,-2.272,-6.346,-4.357,-4.296,-4.54,-3.99,-3.762,-5.626,-4.803,-4.173,-5.705,-5.258,-4.619,-18.01
"2023-01-03 06:00:00",4308,-5.928,-6.229,-7.578,-3.026,-2.588,-2.627,0.033,0.756,0.056,0.799,-3.14,-3.349,-2.112,-4.755,-2.791,-2.295,-6.386,-4.388,-4.335,-4.589,-4.047,-3.776,-5.631,-4.817,-4.196,-5.728,-5.281,-4.642,-17.19
"2023-01-03 09:00:00",4309,-5.929,-6.231,-7.56,-3.037,-2.6,-2.639,0.033,0.756,0.056,0.799,-3.136,-3.354,-2.117,-4.761,-2.796,-2.309,-6.4,-4.402,-4.341,-4.612,-4.061,-3.773,-5.627,-4.822,-4.192,-5.724,-5.286,-4.655,-16.13
"2023-01-03 12:00:00",4310,-5.936,-6.227,-7.546,-3.054,-2.607,-2.656,0.033,0.756,0.056,0.799,-3.139,-3.357,-2.121,-4.78,-2.817,-2.329,-6.419,-4.422,-4.369,-4.64,-4.107,-3.767,-5.621,-4.815,-4.195,-5.735,-5.288,-4.658,-14.67
"2023-01-03 15:00:00",4311,-5.937,-6.198,-7.515,-3.055,-2.627,-2.676,0.033,0.756,0.056,0.799,-3.139,-3.357,-2.121,-4.789,-2.825,-2.329,-6.419,-4.431,-4.378,-4.649,-4.125,-3.767,-5.621,-4.816,-4.203,-5.735,-5.297,-4.667,-13.25
"2023-01-03 18:00:00",4312,-5.927,-6.178,-7.485,-3.065,-2.627,-2.686,0.033,0.756,0.056,0.799,-3.134,-3.351,-2.115,-4.775,-2.82,-2.324,-6.396,-4.416,-4.364,-4.635,-4.093,-3.762,-5.624,-4.819,-4.189,-5.721,-5.3,-4.67,-12.5
"2023-01-03 21:00:00",4313,-5.902,-6.112,-7.419,-3.07,-2.632,-2.69,0.033,0.756,0.056,0.799,-3.139,-3.357,-2.121,-4.772,-2.834,-2.33,-6.376,-4.422,-4.37,-4.632,-4.09,-3.785,-5.63,-4.833,-4.213,-5.718,-5.306,-4.685,-13.12
"2023-01-04 00:00:00",4314,-5.882,-6.052,-7.347,-3.079,-2.641,-2.709,0.033,0.756,0.056,0.799,-3.15,-3.359,-2.131,-4.783,-2.836,-2.34,-6.334,-4.433,-4.372,-4.625,-4.092,-3.795,-5.632,-4.835,-4.223,-5.711,-5.299,-4.695,-13.37
"2023-01-04 03:00:00",4315,-5.846,-5.997,-7.27,-3.074,-2.646,-2.714,0.032,0.756,0.056,0.798,-3.152,-3.379,-2.143,-4.794,-2.856,-2.378,-6.301,-4.435,-4.392,-4.654,-4.13,-3.806,-5.617,-4.846,-4.226,-5.687,-5.284,-4.706,-12.74
"2023-01-04 06:00:00",4316,-5.81,-5.95,-7.233,-3.078,-2.64,-2.718,0.032,0.756,0.056,0.798,-3.159,-3.386,-2.167,-4.783,-2.88,-2.393,-6.255,-4.442,-4.389,-4.643,-4.136,-3.804,-5.597,-4.844,-4.232,-5.667,-5.282,-4.704,-11.64
"2023-01-04 09:00:00",4317,-5.791,-5.921,-7.183,-3.069,-2.642,-2.729,0.032,0.756,0.056,0.798,-3.151,-3.378,-2.159,-4.749,-2.873,-2.394,-6.194,-4.425,-4.373,-4.617,-4.128,-3.797,-5.563,-4.827,-4.233,-5.65,-5.265,-4.705,-10.73
"2023-01-04 12:00:00",4318,-5.744,-5.874,-7.105,-3.062,-2.634,-2.722,0.032,0.756,0.056,0.798,-3.126,-3.344,-2.142,-4.706,-2.856,-2.369,-6.116,-4.383,-4.339,-4.566,-4.059,-3.78,-5.538,-4.811,-4.217,-5.617,-5.24,-4.68,-11.2
"2023-01-04 15:00:00",4319,-5.706,-5.826,-7.015,-3.045,-2.627,-2.724,0.032,0.756,0.056,0.798,-3.144,-3.362,-2.161,-4.707,-2.874,-2.404,-6.073,-4.392,-4.34,-4.567,-4.078,-3.798,-5.53,-4.812,-4.235,-5.6,-5.232,-4.689,-11.37
