"TOA5","MAT06_BLK1_CR1000_8","CR1000","40166","CR1000.Std.28","CPU:GH_Soilmo_temp_ver-1-2023-06-14.CR1","37555","MetData"
"TIMESTAMP","RECORD","Air_3M_Avg","RH","GH_Air_Avg","GH_RH","BattV_Min"
"TS","RN","Deg C","%","Deg C","%","Volts"
"","","Avg","Smp","Avg","Smp","Min"
"2025-01-01 00:00:00",13539,-20.62,56.32,-21.06,57.63,12.36
"2025-01-01 01:00:00",13540,-21.02,52.27,-21.56,53.44,12.4
"2025-01-01 02:00:00",13541,-22.03,56.41,-22.45,56.54,12.35
"2025-01-01 03:00:00",13542,-20.59,52.89,-21.15,53.24,12.4
"2025-01-01 04:00:00",13543,-21.44,54.13,-22.01,57.54,12.4
"2025-01-01 05:00:00",13544,-22.61,52.76,-23.05,54.2,12.39
"2025-01-01 06:00:00",13545,-22.69,53.67,-23.26,55.15,12.39
"2025-01-01 07:00:00",13546,-22.13,54.97,-22.68,56.24,12.34
"2025-01-01 08:00:00",13547,-23.27,58.91,-23.67,59.25,12.38
"2025-01-01 09:00:00",13548,-23.15,56.84,-24,58.15,12.33
"2025-01-01 10:00:00",13549,-22.07,59.01,-22.74,60.35,12.34
"2025-01-01 11:00:00",13550,-22.37,52.36,-22.86,53.6,12.34
"2025-01-01 12:00:00",13551,-23,56.7,-23.61,56.81,12.39
"2025-01-01 13:00:00",13552,-23.3,58.39,-23.98,59.39,12.4
"2025-01-01 14:00:00",13553,-23.79,58.56,-25.06,61.22,12.4
"2025-01-01 15:00:00",13554,-22.64,50.26,-23.67,51.95,12.38
"2025-01-01 16:00:00",13555,-21.75,52.79,-22.76,55.65,12.33
"2025-01-01 17:00:00",13556,-22.02,50.83,-22.99,52.76,12.38
"2025-01-01 18:00:00",13557,-21.98,53.48,-23.11,56.48,12.33
"2025-01-01 19:00:00",13558,-21.9,49.21,-23.04,51.94,12.38
"2025-01-01 20:00:00",13559,-22.73,54.69,-23.75,56.89,12.37
"2025-01-01 21:00:00",13560,-20.97,49.14,-21.86,51.65,12.32
"2025-01-01 22:00:00",13561,-22.01,52,-23.31,55.58,12.32
"2025-01-01 23:00:00",13562,-21.5,50,-22.63,52.31,12.31
"2025-01-02 00:00:00",13563,-20.95,51.45,-22.14,54.55,12.37
"2025-01-02 01:00:00",13564,-21.38,57.44,-22.89,59.58,12.33
"2025-01-02 02:00:00",13565,-21.58,46.66,-22.65,49.17,12.36
"2025-01-02 03:00:00",13566,-20.3,48,-21.61,51.38,12.36
"2025-01-02 04:00:00",13567,-21.14,52.72,-22.4,55.92,12.31
"2025-01-02 05:00:00",13568,-21.03,46.87,-22.54,50.55,12.32
"2025-01-02 06:00:00",13569,-21.84,48.73,-23.14,51.17,12.31
"2025-01-02 07:00:00",13570,-21.86,41.7,-23.13,42.7,12.36
"2025-01-02 08:00:00",13571,-21.42,47.86,-22.49,50.07,12.31
"2025-01-02 09:00:00",13572,-21.27,47.8,-22.34,49.17,12.37
"2025-01-02 10:00:00",13573,-20.36,42.56,-21.55,45.66,12.37
"2025-01-02 11:00:00",13574,-19.97,41.17,-21.08,43.13,12.32
"2025-01-02 12:00:00",13575,-20.66,40.76,-21.71,43.44,12.37
"2025-01-02 13:00:00",13576,-19.74,45.27,-20.75,47.09,12.37
"2025-01-02 14:00:00",13577,-21.09,45.37,-22.03,48.95,12.32
"2025-01-02 15:00:00",13578,-20.6,41.25,-21.73,43.38,12.37
"2025-01-02 16:00:00",13579,-19.95,39.31,-21.05,42,12.36
"2025-01-02 17:00:00",13580,-19.63,36.97,-21.05,40.89,12.36
"2025-01-02 18:00:00",13581,-20.48,41.83,-21.91,44.65,12.36
"2025-01-02 19:00:00",13582,-20.88,41.11,-22.09,43.8,12.36
"2025-01-02 20:00:00",13583,-22.03,47.31,-23.19,48.62,12.36
"2025-01-02 21:00:00",13584,-22.12,44.21,-23.16,46.62,12.36
"2025-01-02 22:00:00",13585,-21.52,43.08,-22.58,45.63,12.36
"2025-01-02 23:00:00",13586,-20.54,43.04,-21.47,44.69,12.36
"2025-01-03 00:00:00",13587,-21.47,41.94,-22.63,44.9,12.31
"2025-01-03 01:00:00",13588,-21.18,43.18,-22.66,44.76,12.36
"2025-01-03 02:00:00",13589,-22.18,42.08,-23.46,45.32,12.31
"2025-01-03 03:00:00",13590,-23.39,46.64,-24.58,49.47,12.36
"2025-01-03 04:00:00",13591,-22.82,46.5,-24.02,49.05,12.36
"2025-01-03 05:00:00",13592,-23.5,46.3,-24.69,49.19,12.31
"2025-01-03 06:00:00",13593,-23.4,47.88,-24.35,49.02,12.36
"2025-01-03 07:00:00",13594,-23.56,47.47,-24.65,50.29,12.31
"2025-01-03 08:00:00",13595,-23.78,46.57,-24.95,49.4,12.31
"2025-01-03 09:00:00",13596,-23.88,49.43,-24.97,50.91,12.36
"2025-01-03 10:00:00",13597,-23.78,50.43,-24.94,53.02,12.35
"2025-01-03 11:00:00",13598,-23.84,46.71,-24.99,49.84,12.35
"2025-01-03 12:00:00",13599,-23.34,46.02,-24.42,47.88,12.35
"2025-01-03 13:00:00",13600,-23.92,49.12,-24.77,50.02,12.36
"2025-01-03 14:00:00",13601,-23.4,46.98,-24.03,47.81,12.32
