"TOA5","MAT06_Blk2_CR1000_13","CR1000","41287","CR1000.Std.32.05","CPU:MAT06_Block2.CR1","45911","Table1"
"TIMESTAMP","RECORD","BattV_Min","GHAirTC_Avg","GHRH"
"TS","RN","Volts","Deg C","%"
"","","Min","Avg","Smp"
"2023-06-21 11:30:00",0,12.48,21.64,34.98
"2023-06-21 12:00:00",1,12.52,20.92,35.05
"2023-06-21 14:00:00",2,12.69,13.41,65.48
"2023-06-21 14:30:00",3,12.75,12.93,69.72
"2023-06-21 15:00:00",4,12.86,12.76,65.89
"2023-06-21 15:30:00",5,12.87,13.2,67.72
"2023-06-21 16:00:00",6,12.85,13.62,63.79
"2023-06-21 16:30:00",7,12.71,10.84,75.31
"2023-06-21 17:00:00",8,12.68,8.05,83.2
"2023-06-21 17:30:00",9,12.69,8.11,78.37
"2023-06-21 18:00:00",10,12.7,8.71,76.74
"2023-06-21 18:30:00",11,12.68,8.05,78.88
"2023-06-21 19:00:00",12,12.68,7.763,81.9
"2023-06-21 19:30:00",13,12.68,7.624,81.6
"2023-06-21 20:00:00",14,12.65,6.653,85.2
"2023-06-21 20:30:00",15,12.63,5.662,91.7
"2023-06-21 21:00:00",16,12.63,5.152,92.4
"2023-06-21 21:30:00",17,12.62,4.99,93.2
"2023-06-21 22:00:00",18,12.62,4.78,93.8
"2023-06-21 22:30:00",19,12.62,4.79,93
"2023-06-21 23:00:00",20,12.62,4.72,92.9
"2023-06-21 23:30:00",21,12.62,4.677,92.6
"2023-06-22 00:00:00",22,12.61,4.404,94.3
"2023-06-22 00:30:00",23,12.62,4.229,94.6
"2023-06-22 01:00:00",24,12.61,4.228,95.3
"2023-06-22 01:30:00",25,12.61,4.194,94.6
"2023-06-22 02:00:00",26,12.61,4.119,94.3
"2023-06-22 02:30:00",27,12.61,3.958,96.3
"2023-06-22 03:00:00",28,12.61,3.594,97.1
"2023-06-22 03:30:00",29,12.6,3.258,97.6
"2023-06-22 04:00:00",30,12.61,3.235,97.3
"2023-06-22 04:30:00",31,12.61,3.178,97.5
"2023-06-22 05:00:00",32,12.6,3.063,97.1
"2023-06-22 05:30:00",33,12.61,3.015,96.9
"2023-06-22 06:00:00",34,12.6,2.967,96.7
"2023-06-22 06:30:00",35,12.61,2.905,97
"2023-06-22 07:00:00",36,12.61,3.024,94.6
"2023-06-22 07:30:00",37,12.6,3.173,94.1
"2023-06-22 08:00:00",38,12.64,3.46,91.8
"2023-06-22 08:30:00",39,12.67,4.116,90.4
"2023-06-22 09:00:00",40,12.72,4.798,88.9
