"TOA5","MAT89_CR23XPB_7","","","","","","Daily"
"TIMESTAMP","RECORD","BattV_MIN","ProgSig","CT_Temp_AVG","CT_Temp_MAX","CT_Temp_MIN","GH_Temp_AVG","GH_Temp_MAX","GH_Temp_MIN","SH_Temp_AVG","SH_Temp_MAX","SH_Temp_MIN","WS_ms_AVG","WS_ms_MAX","WS_ms_MIN","Rain_mm_TOT"
"TS","RN","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"2023-06-30 00:00:00",135,12.62,3024,14.58,19.89,10.69,-82.4,-76.76,-88.8,-77.71,-73.93,-80.2,2.446,7.087,0,5.588
"2023-07-01 00:00:00",136,12.52,3024,15.94,19.34,10.67,-79.68,-68.71,-91,-75.69,-68.46,-84.4,4.456,8.62,0.46,0.254
"2023-07-02 00:00:00",137,12.48,3024,8.98,10.99,7.378,-74.96,-68.28,-82.1,-74.12,-70.24,-79.83,2.711,5.807,0.46,2.286
"2023-07-03 00:00:00",138,12.63,3024,15.31,22.32,6.472,-63.62,-50.92,-80.5,-67.7,-60.85,-76.82,3.042,7.207,0.54,0.508
"2023-07-04 00:00:00",139,12.66,3024,18.14,25,10.45,-85.7,-77.81,-97.9,-79.34,-73.36,-87.8,3.362,9.46,0,0
"2023-07-05 00:00:00",140,12.57,3024,12.32,14.78,7.92,-75.2,-68.04,-83.2,-73.69,-68.75,-79.7,2.874,7.434,0,8.13
"2023-07-06 00:00:00",141,12.7,3024,12.73,17.14,4.795,-76.86,-69.97,-83.3,-75.17,-71.16,-79.24,3.644,7.847,0,0
"2023-07-07 00:00:00",142,12.55,3024,13.65,16.34,10.45,-80.5,-79.52,-82.6,-76.94,-75.76,-78.46,3.35,7.394,0.567,0
"2023-07-08 00:00:00",143,12.63,3024,15,20.18,10.71,-81.6,-77.49,-88.9,-77.2,-73.41,-81.8,3.247,8.19,0.487,2.032
"2023-07-09 00:00:00",144,12.45,3024,9.65,11.59,8.84,-68.16,-56.52,-78.55,-70.34,-65.75,-76.39,3.96,8.07,0,54.86
"2023-07-10 00:00:00",145,12.55,3024,12.5,16.5,8.05,-55.58,-43.87,-70.85,-66.73,-60.78,-73.43,3.579,7.727,0,0
"2023-07-11 00:00:00",146,12.58,3024,13.54,17.59,8.85,-73.9,-67.48,-80.9,-73.74,-70.26,-77.43,3.825,7.26,0,0
"2023-07-12 00:00:00",147,12.61,3024,12.95,18,7.56,-79.79,-77.01,-84.5,-76.26,-73.17,-79.2,2.107,5.087,0,0.508
"2023-07-13 00:00:00",148,12.44,3024,10.14,13.75,7.752,-65.25,-55.29,-77.57,-69.12,-64.64,-75.41,2.625,7.154,0,18.29
"2023-07-14 00:00:00",149,12.67,3024,12.5,17.93,5.473,-57.96,-47.93,-69.49,-67.47,-62.02,-72.79,2.995,5.874,0,0.254
"2023-07-15 00:00:00",150,12.46,3024,12.53,18.13,8.85,-62.65,-52.98,-70.14,-69.58,-64.14,-73.4,3.411,8.09,0,3.556
"2023-07-16 00:00:00",151,12.55,3024,8.89,12.13,6.505,-67.07,-63.72,-70.18,-71.78,-69.01,-73.37,2.663,5.434,0,0.254
"2023-07-17 00:00:00",152,12.51,3024,7.513,11.28,4.978,-57.84,-50.7,-66.11,-68.51,-65.58,-71.65,2.622,4.54,0,1.524
"2023-07-18 00:00:00",153,12.55,3024,12.36,17.8,7.409,-46.99,-39.44,-53.49,-64.61,-60.4,-68.19,2.083,5.087,0,0.762
"2023-07-19 00:00:00",154,12.51,3024,14.41,18.62,9.14,-63.82,-43.97,-87.1,-71.89,-62.34,-82.8,1.928,4.34,0,0
"2023-07-20 00:00:00",155,12.47,3024,16.51,21.79,10.59,-89.7,-81.7,-99,-85.6,-80.4,-91.1,2.552,6.154,0,0
