"TOA5","MAT89_CR23XPB_7","","","","","","Met_half_hourly"
"TIMESTAMP","RECORD","CT_Temp_AVG","GH_Temp_AVG","SH_Temp_AVG","CT_RH","GH_RH","SH_RH","SolarkW_AVG","CTPAR_Den_AVG","GHPAR_Den_AVG","SHPAR_Den_AVG","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","Ref_T_C_AVG","Rain_mm_TOT","Field16"
"TS","RN","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"2023-06-29 08:30:00",6485,16.12,-83.5,-78.2,68.44,-17.83,-29.55,0.29,289.9,0,0,0.468,41.23,36.81,15.91,0,989
"2023-06-29 09:00:00",6486,15.64,-83.8,-78.32,68.11,-17.62,-29.33,0.23,230.3,0,0,0.72,342.9,31.14,16.18,0,988
"2023-06-29 09:30:00",6487,16.16,-83.8,-78.34,68.72,-17.45,-29.17,0.263,262.7,0,0,0.391,17.55,7.314,16.04,0,989
"2023-06-29 10:00:00",6488,15.8,-83.8,-78.31,69.44,-17.35,-29,0.173,173.4,0,0,0.181,18.67,5.076,16.16,0,989
"2023-06-29 10:30:00",6489,15.24,-83.7,-78.5,84,-17.32,-28.89,0.193,193.4,0,0,0.792,352.2,10.41,15.56,0,989
"2023-06-29 11:00:00",6490,15.22,-83.2,-78.32,81,-17.25,-28.69,0.446,445.8,0,0,1.389,342.4,21.33,14.87,0,982
"2023-06-29 11:30:00",6491,15.89,-82.9,-77.71,85.9,-16.86,-28.26,0.604,604.5,0,0,1.593,356.9,20.26,15.21,0,990
"2023-06-29 12:00:00",6492,16.52,-82.8,-76.98,74.39,-16.25,-27.63,0.909,909,0,0,2.282,5.607,9.62,16.78,0,991
"2023-06-29 12:30:00",6493,17.54,-83.1,-76.3,74.23,-15.67,-27.03,1.061,1061,0,0,3.198,17.49,14.92,18.51,0,188.4
"2023-06-29 13:00:00",6494,17.86,-84.4,-76.88,66.8,-15.21,-26.44,1.216,1216,0,0,3.564,17.79,13.74,19.12,0,990
"2023-06-29 13:30:00",6495,18.53,-85,-76.61,72.79,-15.02,-26.67,1.188,1188,0,0,3.842,27,14.65,20.32,0,138.3
"2023-06-29 14:00:00",6496,18.29,-86.1,-77.22,63.33,-15.05,-26.96,1.158,1159,0,0,4.292,17.67,9.06,20.93,0,981
"2023-06-29 14:30:00",6497,18.83,-86.9,-77.69,60.33,-15.2,-27.54,1.262,1262,0,0,4.577,19.61,11.66,21.2,0,985
"2023-06-29 15:00:00",6498,18.76,-87.8,-78.1,71.03,-15.66,-28.74,1.034,1035,0,0,5.458,20.71,15.07,21.87,0,988
"2023-06-29 15:30:00",6499,16.99,-88.5,-79.75,73.5,-16.44,-29.78,0.429,429.3,0,0,5.574,8.81,7.745,20.78,0,989
"2023-06-29 16:00:00",6500,16.31,-87.1,-80,74.98,-17.18,-30.43,0.314,313.9,0,0,4.927,9.25,7.524,18.72,0,989
"2023-06-29 16:30:00",6501,16.21,-86,-79.82,76.76,-17.51,-30.4,0.418,418.1,0,0,4.656,11.11,12.57,17.35,0,969
"2023-06-29 17:00:00",6502,16.06,-85.1,-79.33,90.3,-17.71,-30.43,0.247,247.4,0,0,4.779,13.82,19.53,16.58,0,978
"2023-06-29 17:30:00",6503,14.24,-84.3,-79.18,99.6,-17.8,-30.07,0.067,67.52,0,0,3.205,341.2,10.09,15.65,0.254,991
"2023-06-29 18:00:00",6504,14.19,-83,-78.5,97.3,-17.75,-29.7,0.274,273.9,0,0,2.275,11.19,30.5,14.46,0,949
"2023-06-29 18:30:00",6505,14.46,-82.4,-77.88,90,-17.42,-29.14,0.261,261.3,0,0,2.727,28.43,13.12,14.35,0,157.9
"2023-06-29 19:00:00",6506,14.62,-81.9,-77.5,99.5,-16.96,-28.48,0.152,151.7,0,0,2.935,342,26.37,14.39,0,983
