"TOA5","Tlk_InletCR800_2","CR800","1025","CR800.Std.32.05","CPU:CR800_Tlk_inlet_v1.1.CR8","22673","Tl_intet"
"TIMESTAMP","RECORD","Cond_Avg","Cond_uS_Avg","Ct_Avg","Temp_C_Avg","Lvl_mm","enter_obs_gage_ht_mm","BattV_Min"
"TS","RN","mS/cm","uS/cm","mS/cm","Deg C","mm","","Volts"
"","","Avg","Avg","Avg","Avg","Smp","Smp","Min"
"2026-06-03 10:30:00",0,0.03781977,37.82,0.01933371,0.56,0,0,12.85
"2026-06-03 11:00:00",1,0.03767164,37.67,0.0192566,0.559,0,0,12.84
"2026-06-03 11:30:00",2,0.03741048,37.41,0.01916578,0.616,0,0,12.9
"2026-06-03 09:00:00",3,0.03677136,36.77,0.01897616,0.803,0,0,12.88
"2026-06-03 09:30:00",4,0.03666516,36.67,0.01897721,0.879,0,0,12.86
"2026-06-03 10:00:00",5,0.03673689,36.74,0.01907596,0.963,0,0,12.95
"2026-06-03 10:30:00",6,0.03716319,37.16,0.01935835,1.045,0,0,13
"2026-06-03 11:00:00",7,0.03729554,37.3,0.0195037,1.148,0,0,13.13
"2026-06-03 11:30:00",8,0.03711114,37.11,0.01952791,1.31,0,0,13.5
"2026-06-03 12:00:00",9,0.03667621,36.68,0.01930571,1.319,0,0,13.52
"2026-06-03 12:30:00",10,0.03662434,36.62,0.01932541,1.383,0,0,13.65
"2026-06-03 13:00:00",11,0.03655147,36.55,0.01926368,1.351,0,0,13.67
"2026-06-03 13:30:00",12,0.03648789,36.49,0.01931268,1.465,0,0,13.71
"2026-06-03 14:00:00",13,0.03604094,36.04,0.01921852,1.662,0,0,13.68
"2026-06-03 14:30:00",14,0.03557333,35.57,0.01894976,1.635,0,0,13.7
"2026-06-03 15:00:00",15,0.03501583,35.02,0.01869581,1.696,0,0,13.7
"2026-06-03 15:30:00",16,0.03480736,34.81,0.01857678,1.685,0,0,13.7
"2026-06-03 16:00:00",17,0.03461557,34.62,0.01856145,1.811,45,0,13.73
"2026-06-03 16:30:00",18,0.0351343,35.13,0.01868729,1.594,84.2,0,13.74
"2026-06-03 17:00:00",19,0.03474606,34.75,0.01845777,1.561,88.8,0,13.76
"2026-06-03 17:30:00",20,0.03665744,36.66,0.01940612,1.469,90,0,13.62
"2026-06-03 18:00:00",21,0.03545154,35.45,0.01862342,1.266,108.5,0,13.38
"2026-06-03 18:30:00",22,0.03527165,35.27,0.01848255,1.2,101.5,0,13.25
"2026-06-03 19:00:00",23,0.03629801,36.3,0.01899352,1.163,106.2,0,13.15
"2026-06-03 19:30:00",24,0.03509666,35.1,0.01833921,1.127,107.3,0,13.12
"2026-06-03 20:00:00",25,0.03497865,34.98,0.01825297,1.092,108.5,0,13.08
"2026-06-03 20:30:00",26,0.0363143,36.31,0.01894776,1.089,91.2,0,13.06
"2026-06-03 21:00:00",27,0.03734308,37.34,0.01946076,1.057,102.7,0,13.01
"2026-06-03 21:30:00",28,0.03817332,38.17,0.01978763,0.919,139.6,0,13
"2026-06-03 22:00:00",29,0.03275269,32.75,0.01689292,0.787,148.8,0,12.98
"2026-06-03 22:30:00",30,0.0267202,26.72,0.01377213,0.771,161.5,0,12.98
"2026-06-03 23:00:00",31,0.02654332,26.54,0.01363188,0.679,166.2,0,12.97
"2026-06-03 23:30:00",32,0.02689042,26.89,0.01377769,0.618,161.5,0,12.95
"2026-06-04 00:00:00",33,0.02665705,26.66,0.01363609,0.577,158.1,0,12.93
"2026-06-04 00:30:00",34,0.02770073,27.7,0.01418182,0.598,151.2,0,12.91
"2026-06-04 01:00:00",35,0.02776973,27.77,0.01420216,0.571,147.7,0,12.89
"2026-06-04 01:30:00",36,0.02807112,28.07,0.01433778,0.538,141.9,0,12.87
"2026-06-04 02:00:00",37,0.02782537,27.83,0.01420873,0.532,135,0,12.87
"2026-06-04 02:30:00",38,0.02855838,28.56,0.01457626,0.52,128.1,0,12.86
"2026-06-04 03:00:00",39,0.03008038,30.08,0.01535334,0.521,123.5,0,12.83
"2026-06-04 03:30:00",40,0.02995951,29.96,0.01527762,0.497,115.4,0,12.84
"2026-06-04 04:00:00",41,0.03010683,30.11,0.01533366,0.465,108.5,0,12.82
