"TOA5","TW_SoilCR10XPB_5","","","","","","Hourly_Soil"
"TIMESTAMP","RECORD","Ref_Temp_AVG","Ref107cor_AVG","LSH1_Sur_AVG","LSH1_5cm_AVG","LSH1_10cm_AVG","LSH1_20cm_AVG","LSH1_30cm_AVG","LSH1_40cm_AVG","LSH2_Sur_AVG","LSH2_5cm_AVG","LSH2_10cm_AVG","LSH2_20cm_AVG","LSH2_30cm_AVG","LSH2_40cm_AVG","Hsh1_Sur_AVG","Hsh1_5cm_AVG","Hsh1_10cm_AVG","Hsh1_20cm_AVG","Hsh1_30cm_AVG","Hsh1_40cm_AVG","Hsh2_Sur_AVG","Hsh2_5cm_AVG","Hsh2_10cm_AVG","Hsh2_20cm_AVG","Hsh2_30cm_AVG","Hsh2_40cm_AVG","Battery_AVG"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-01 01:00:00",29720,-25.66,-25.95,-2.66,-2.37,-2.545,-1.729,-1.657,-1.105,-4.45,-3.314,-3.526,-2.73,-2.765,-1.892,-5.814,-3.886,-3.214,-2.558,-2.303,-1.446,-5.779,-4.43,-4.579,-3.576,-3.6,-2.858,11.95
"2023-01-01 02:00:00",29721,-25.8,-25.95,-2.531,-2.246,-2.409,-1.611,-1.524,-0.987,-4.328,-3.197,-3.394,-2.613,-2.635,-1.774,-5.693,-3.763,-3.058,-2.417,-2.154,-1.304,-5.638,-4.32,-4.457,-3.461,-3.466,-2.735,11.95
"2023-01-01 03:00:00",29722,-26.25,-25.95,-2.084,-1.801,-1.964,-1.167,-1.089,-0.559,-3.908,-2.776,-2.966,-2.191,-2.217,-1.33,-5.26,-3.308,-2.598,-1.969,-1.69,-0.844,-5.192,-3.884,-4.022,-3.014,-3.014,-2.299,11.95
"2023-01-01 04:00:00",29723,-26.2,-25.95,-2.148,-1.858,-2.019,-1.226,-1.146,-0.614,-3.97,-2.829,-3.021,-2.239,-2.274,-1.382,-5.347,-3.381,-2.67,-2.024,-1.769,-0.924,-5.331,-3.957,-4.088,-3.082,-3.086,-2.359,11.95
"2023-01-01 05:00:00",29724,-25.97,-25.95,-2.369,-2.082,-2.24,-1.44,-1.364,-0.833,-4.197,-3.049,-3.24,-2.456,-2.476,-1.61,-5.604,-3.624,-2.909,-2.269,-2.008,-1.165,-5.587,-4.205,-4.332,-3.315,-3.321,-2.587,11.95
"2023-01-01 06:00:00",29725,-25.81,-25.95,-2.518,-2.22,-2.388,-1.59,-1.511,-0.973,-4.347,-3.192,-3.379,-2.597,-2.627,-1.753,-5.777,-3.783,-3.089,-2.42,-2.157,-1.32,-5.812,-4.375,-4.5,-3.475,-3.464,-2.734,11.95
"2023-01-01 07:00:00",29726,-26,-25.95,-2.344,-2.05,-2.244,-1.417,-1.361,-0.812,-4.226,-3.03,-3.259,-2.439,-2.483,-1.585,-5.654,-3.61,-2.936,-2.248,-2.011,-1.137,-5.722,-4.209,-4.368,-3.305,-3.329,-2.564,11.94
"2023-01-01 08:00:00",29727,-25.78,-25.95,-2.54,-2.239,-2.407,-1.606,-1.537,-0.999,-4.379,-3.222,-3.405,-2.622,-2.649,-1.78,-5.847,-3.822,-3.117,-2.457,-2.191,-1.348,-5.888,-4.429,-4.547,-3.51,-3.497,-2.762,11.95
"2023-01-01 09:00:00",29728,-25.94,-25.95,-2.408,-2.114,-2.28,-1.482,-1.414,-0.876,-4.269,-3.101,-3.293,-2.502,-2.547,-1.653,-5.734,-3.699,-2.983,-2.312,-2.045,-1.208,-5.74,-4.312,-4.437,-3.384,-3.376,-2.639,11.95
