"TOA5","WetSedge_CR23XPB_9","","","","","","Met_Hourly"
"TIMESTAMP","RECORD","CTAirtemp_AVG","GHAirtemp_AVG","CT_RH_AVG","GH_RH_AVG","CT_107Air_AVG"
"TS","RN","","","","",""
"","","","","","",""
"2023-06-24 15:00:00",32657,20.9,21.84,32.88,32.93,20.69
"2023-06-24 16:00:00",32658,21,20.98,33.04,35.21,20.63
"2023-06-24 17:00:00",32659,22.01,22.5,30.95,31.99,21.59
"2023-06-24 18:00:00",32660,21.23,21.32,32.68,33.95,21.03
"2023-06-24 19:00:00",32661,20.93,21.13,32.97,34.38,20.87
"2023-06-24 20:00:00",32662,19.98,19.74,40.8,45.91,19.83
"2023-06-24 21:00:00",32663,19.14,18.56,44.34,49.35,19
"2023-06-24 22:00:00",32664,18.88,18.14,47.59,52.53,18.61
"2023-06-24 23:00:00",32665,16.33,16.09,58.05,61,16.34
"2023-06-25 00:00:00",32666,14.06,13.79,67.19,69.99,14.17
"2023-06-25 01:00:00",32667,11.98,11.86,79.98,81.2,12.04
"2023-06-25 02:00:00",32668,10.48,10.54,84.7,85.3,10.6
"2023-06-25 03:00:00",32669,8.89,8.89,88.9,89.6,9
"2023-06-25 04:00:00",32670,9.66,9.89,87.7,88,9.74
"2023-06-25 05:00:00",32671,12.5,12.81,79.07,78.79,12.45
"2023-06-25 06:00:00",32672,13.94,14.31,73.04,73.17,13.95
"2023-06-25 07:00:00",32673,15.08,15.33,68.5,69.22,15.13
"2023-06-25 08:00:00",32674,15.67,15.91,65.66,66.28,15.56
"2023-06-25 09:00:00",32675,15.8,16.27,65.1,65.77,15.77
"2023-06-25 10:00:00",32676,16.89,17.28,64.24,65.01,16.8
"2023-06-25 11:00:00",32677,18.04,18.39,56.81,58.31,17.85
"2023-06-25 12:00:00",32678,18.91,19.3,42.43,44.46,18.89
"2023-06-25 13:00:00",32679,17.12,17.57,54.58,55.75,17.17
"2023-06-25 14:00:00",32680,17.1,17.5,52.39,53.34,17.14
"2023-06-25 15:00:00",32681,18.81,19.39,42.37,42.91,18.73
"2023-06-25 16:00:00",32682,19.46,20.09,40.72,41.45,19.42
"2023-06-25 17:00:00",32683,19.27,19.85,43.33,43.43,19.24
"2023-06-25 18:00:00",32684,17.64,18.05,50.4,50.7,17.71
"2023-06-25 19:00:00",32685,17.01,17.31,54.35,54.87,17.15
"2023-06-25 20:00:00",32686,17.11,17.37,54.58,54.97,17.22
"2023-06-25 21:00:00",32687,15.91,16.12,60.91,61.32,16.02
"2023-06-25 22:00:00",32688,13.74,13.88,77.18,77.29,13.71
"2023-06-25 23:00:00",32689,13.45,13.56,68.13,69.18,13.57
"2023-06-26 00:00:00",32690,12.49,12.57,62.96,63.67,12.68
"2023-06-26 01:00:00",32691,12.32,12.41,61.91,62.76,12.51
"2023-06-26 02:00:00",32692,12.04,11.99,64.5,66.22,12.18
"2023-06-26 03:00:00",32693,10.7,10.26,71.02,74.95,10.79
"2023-06-26 04:00:00",32694,11.7,11.66,68.37,69.85,11.86
"2023-06-26 05:00:00",32695,10.96,11.24,77.84,77.75,11.11
"2023-06-26 06:00:00",32696,10.4,10.68,87.1,87,10.5
"2023-06-26 07:00:00",32697,10.65,10.92,86.4,86.7,10.66
"2023-06-26 08:00:00",32698,10.75,11.07,87.3,87.4,10.75
"2023-06-26 09:00:00",32699,10.68,10.8,86.9,87.7,10.6
"2023-06-26 10:00:00",32700,10.95,11.27,85.1,85.1,10.89
"2023-06-26 11:00:00",32701,10.81,11.12,85,85.7,10.83
"2023-06-26 12:00:00",32702,11.34,11.97,84.2,84.6,11.34
"2023-06-26 13:00:00",32703,11.29,11.9,81.5,81.1,11.29
"2023-06-26 14:00:00",32704,11.8,12.6,77.27,76.43,11.68
"2023-06-26 15:00:00",32705,11.56,12.13,78.14,77.56,11.49
