"TOA5","WetSedge_CR23XPB_9","","","","","","Soil"
"TIMESTAMP","RECORD","NP_sur_AVG","NP_5cm_AVG","NP_10cm_AVG","NP_25cm_AVG","GH_sur_AVG","GH_5cm_AVG","GH_10cm_AVG","GH_25cm_AVG","N_sur_AVG","N_5cm_AVG","N_10cm_AVG","N_25cm_AVG","P_sur_AVG","P_5cm_AVG","P_10cm_AVG","P_25cm_AVG","CT_sur_AVG","CT_5cm_AVG","CT_10cm_AVG","CT_25cm_AVG","Battery_V_AVG","Paneltemp_AVG"
"TS","RN","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"2023-06-24 15:00:00",10886,9.13,19.85,8.61,-0.305,10.18,9.56,7.409,1.977,18.66,13.43,8.81,2.41,18.19,15.72,5.639,-0.177,10.23,10.7,8.8,4,12.93,24.12
"2023-06-24 18:00:00",10887,9.7,17.92,8.96,-0.165,11.76,10.44,8.25,2.166,16.41,13.91,9.78,2.479,19.36,16.5,6.42,-0.237,11.21,11.22,9.13,3.929,12.78,25.56
"2023-06-24 21:00:00",10888,7.57,11.62,6.911,-0.926,10.38,9.67,7.924,1.533,12.95,11.92,9.12,1.659,13.13,10.78,4.641,-1.391,10.67,10.28,8.16,2.938,12.31,24.34
"2023-06-25 00:00:00",10889,5.969,7.793,5.418,-1.011,8.97,8.97,7.823,1.638,10.55,10.46,8.81,1.806,9.12,7.476,3.709,-1.511,10.18,9.65,7.904,2.944,12.29,20.55
"2023-06-25 03:00:00",10890,4.481,4.906,4.181,-0.879,7.739,8.08,7.415,1.854,8.88,9.22,8.31,2.046,5.63,4.716,2.671,-1.519,9.41,8.96,7.529,3.027,12.26,14.57
"2023-06-25 06:00:00",10891,4.146,7.391,4.223,-0.876,7.278,7.628,7.021,1.919,8.96,8.89,7.889,2.264,5.892,5.354,2.665,-1.196,8.85,8.21,7.353,3.268,12.27,15.37
"2023-06-25 09:00:00",10892,4.988,11.22,5.079,-1.098,7.684,7.542,6.515,1.638,11.51,9.46,7.557,2.158,9.28,8.12,3.107,-1.214,8.78,7.926,7.06,3.097,12.3,20.21
"2023-06-25 12:00:00",10893,6.317,14.97,6.426,-1.083,8.83,8.12,6.562,1.537,14.63,10.89,7.819,2.098,12.45,10.73,3.825,-1.198,9.42,8.42,7.177,2.974,12.45,23.22
"2023-06-25 15:00:00",10894,7.636,16.12,7.498,-0.93,9.4,8.7,6.945,1.568,13.89,11.1,8.26,2.106,13.41,11.66,4.278,-1.215,10.01,9.22,7.528,2.911,12.36,22.87
"2023-06-25 18:00:00",10895,8.41,15.6,7.85,-0.954,10.05,9.11,7.267,1.539,14.63,11.86,8.67,2.114,14.75,12.8,5.022,-1.187,10.47,9.67,7.915,2.922,12.34,24.95
"2023-06-25 21:00:00",10896,7.031,11.05,6.658,-0.837,9.56,8.84,7.356,1.627,13.14,11.35,8.8,2.109,11.01,9.62,4.421,-1.352,10.28,9.68,7.918,2.865,12.28,21.21
"2023-06-26 00:00:00",10897,5.846,7.992,5.523,-0.819,8.68,8.31,7.207,1.673,10.89,10.2,8.59,2.166,8.27,7.138,3.619,-1.422,9.77,9.25,7.728,2.89,12.25,17.82
"2023-06-26 03:00:00",10898,4.554,5.585,4.378,-0.768,7.499,7.566,6.863,1.751,9.06,9.09,8.14,2.291,5.924,5.141,2.904,-1.364,9.13,8.62,7.465,3.003,12.23,15.3
"2023-06-26 06:00:00",10899,3.985,6.158,4.041,-0.775,6.858,7.034,6.421,1.751,8.54,8.45,7.616,2.354,5.941,5.292,2.634,-1.266,8.53,7.976,7.129,3.072,12.21,14.57
"2023-06-26 09:00:00",10900,4.146,7.768,4.285,-0.782,6.769,6.759,6.032,1.673,9.2,8.36,7.212,2.33,6.876,5.999,2.607,-1.228,8.22,7.619,6.823,3.033,12.2,14.93
