"TOA5","CR1000_Shrub","CR1000","43615","CR1000.Std.22","CPU:Shurb_2014_Soil_PAR-Temp.CR1","22994","Daily"
"TIMESTAMP","RECORD","BattV_Min","BattV_Max","AirTC_3M_Max","AirTC_3M_Min","GH_AirTC_Max","GH_AirTC_Min","SH_AirTC_Max","SH_AirTC_Min"
"TS","RN","Volts","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Max","Max","Min","Max","Min","Max","Min"
"2021-01-01 00:00:00",1080,12.14,12.21,-21.23,-28.53,-21.47,-29.59,-21.85,-29.35
"2021-01-02 00:00:00",1081,12.12,12.2,-19.4,-37.81,-19.87,-38.39,-20.08,-38.56
"2021-01-03 00:00:00",1082,12.09,12.18,-34.33,-39.79,-33.75,-39.56,-34.16,-39.69
"2021-01-04 00:00:00",1083,12.08,12.15,-33.27,-39.11,-32.69,-39.15,-33.2,-39.45
"2021-01-05 00:00:00",1084,12.07,12.14,-34.29,-39.76,-34.19,-39.52,-34.57,-39.69
"2021-01-06 00:00:00",1085,12.06,12.13,-26.07,-37.64,-27.57,-37.47,-27.64,-37.71
"2021-01-07 00:00:00",1086,12.07,12.14,-9.13,-29.28,-9.57,-30.61,-9.88,-30.51
"2021-01-08 00:00:00",1087,12.08,12.16,-3.989,-11.91,-4.091,-12.66,-4.227,-12.52
"2021-01-09 00:00:00",1088,12.11,12.17,0.423,-10.66,-0.155,-11.64,-0.292,-11.47
"2021-01-10 00:00:00",1089,12.1,12.17,-6.326,-18.46,-6.666,-19.61,-7.041,-19.61
"2021-01-11 00:00:00",1090,12.08,12.15,-6.025,-23.49,-6.502,-23.56,-6.706,-23.7
"2021-01-12 00:00:00",1091,12.05,12.13,-23.39,-29.62,-23.42,-29.9,-23.49,-30.03
"2021-01-13 00:00:00",1092,12.04,12.13,-23.09,-28.77,-22.34,-29.08,-22.81,-29.25
"2021-01-14 00:00:00",1093,12.02,12.1,-27.78,-32.14,-28.12,-32.52,-28.26,-32.59
"2021-01-15 00:00:00",1094,12.01,12.09,-18.42,-32.28,-18.15,-32.96,-18.35,-33.03
"2021-01-16 00:00:00",1095,12,12.08,-25.47,-32.69,-24.82,-32.11,-25.33,-32.56
"2021-01-17 00:00:00",1096,11.99,12.07,-25.87,-30.85,-25.8,-31.09,-26.24,-31.16
"2021-01-18 00:00:00",1097,11.98,12.05,-9.55,-30.58,-10.81,-30.78,-10.29,-31.05
"2021-01-19 00:00:00",1098,12,12.08,-1.959,-11.39,-2.13,-12.21,-2.334,-12.14
"2021-01-20 00:00:00",1099,12.02,12.08,-5.012,-18.27,-4.773,-17.42,-5.011,-18
"2021-01-21 00:00:00",1100,12.02,12.08,-11.91,-21.46,-11.5,-21.42,-11.84,-21.69
"2021-01-22 00:00:00",1101,12.01,12.26,-0.305,-17.91,-0.475,-18.02,-0.713,-18.25
"2021-01-23 00:00:00",1102,12.02,12.1,1.026,-7.189,0.918,-7.393,0.68,-7.665
"2021-01-24 00:00:00",1103,12,12.36,-5.146,-16.89,-5.589,-17.74,-5.589,-17.64
"2021-01-25 00:00:00",1104,11.98,12.58,-9.42,-23.5,-9.66,-24.14,-9.83,-24.01
"2021-01-26 00:00:00",1105,11.96,12.65,-8.84,-24.72,-8.7,-25.13,-9.01,-25.2
"2021-01-27 00:00:00",1106,11.96,12.69,-15.06,-25.47,-14.71,-25.95,-15.02,-25.98
"2021-01-28 00:00:00",1107,11.95,12.46,-19.37,-27.95,-19.7,-28.67,-19.98,-28.53
"2021-01-29 00:00:00",1108,11.92,12.77,-26.07,-37.5,-27.3,-37.44,-27.54,-37.88
"2021-01-30 00:00:00",1109,11.9,12.07,-34.4,-38.77,-33.82,-39.32,-34.36,-39.15
"2021-01-31 00:00:00",1110,11.89,12.01,-32.35,-36.35,-31.91,-36.45,-32.32,-36.79
"2021-02-01 00:00:00",1111,11.89,12.85,-34.26,-39.79,-34.29,-39.56,-34.7,-39.69
"2021-02-02 00:00:00",1112,11.88,13.12,-31.74,-39.79,-32.55,-39.56,-33.13,-39.69
"2021-02-03 00:00:00",1113,11.97,13.11,-23.45,-39.79,-35.93,-39.59,-36.44,-39.69
"2021-02-04 00:00:00",1114,12.04,13.13,-36.99,-39.79,-39.11,-39.59,-39.18,-39.69
"2021-02-05 00:00:00",1115,12.07,13.22,-29.75,-39.83,-30.57,-39.56,-30.71,-39.69
"2021-02-06 00:00:00",1116,12.13,13.23,-21.16,-33.72,-23.39,-34.6,-23.52,-34.81
"2021-02-07 00:00:00",1117,12.11,12.31,-22.39,-28.56,-22.52,-29.9,-22.86,-29.93
"2021-02-08 00:00:00",1118,12.07,12.84,-26.12,-39.52,-25.71,-39.52,-26.01,-39.69
"2021-02-09 00:00:00",1119,12.07,13.09,-33.61,-39.79,-34.05,-39.56,-34.19,-39.69
"2021-02-10 00:00:00",1120,12.17,13.17,-37.95,-39.79,-38.33,-39.56,-38.91,-39.69
"2021-02-11 00:00:00",1121,12.21,13.22,-22.4,-39.79,-22.03,-39.56,-22.54,-39.69
"2021-02-12 00:00:00",1122,12.24,13.1,-6.411,-26.9,-6.513,-27,-6.786,-27.37
"2021-02-13 00:00:00",1123,12.23,12.82,-4.602,-14.38,-4.738,-15,-5.112,-15.06
"2021-02-14 00:00:00",1124,12.21,12.91,-11.72,-25.4,-11.65,-26.12,-12.06,-26.15
"2021-02-15 00:00:00",1125,12.19,12.35,-23.26,-26.97,-22.57,-26.39,-23.09,-26.83
"2021-02-16 00:00:00",1126,12.16,12.46,-26.86,-30.37,-26.25,-30.1,-26.79,-30.54
"2021-02-17 00:00:00",1127,12.14,13.12,-28.77,-36.34,-28.09,-37.37,-28.7,-37.33
"2021-02-18 00:00:00",1128,12.26,13.28,-32.18,-39.59,-29.42,-39.52,-32.15,-39.69
"2021-02-19 00:00:00",1129,12.32,13.44,-32.35,-39.69,-30.47,-39.52,-31.74,-39.69
"2021-02-20 00:00:00",1130,12.35,13.64,-28.15,-36.96,-27.78,-37.16,-28.22,-37.74
"2021-02-21 00:00:00",1131,12.4,13.63,-26.76,-36.79,-25.94,-36.92,-27.14,-37.06
"2021-02-22 00:00:00",1132,12.4,12.72,-22.71,-38.36,-22.3,-38.46,-22.68,-38.56
"2021-02-23 00:00:00",1133,12.36,12.62,-22.98,-26.76,-22.71,-26.46,-23.02,-26.83
"2021-02-24 00:00:00",1134,12.34,12.6,-21.62,-26.59,-21.48,-26.46,-21.65,-26.83
"2021-02-25 00:00:00",1135,12.33,13.3,-22.1,-31.67,-21.89,-32.11,-22.23,-32.21
"2021-02-26 00:00:00",1136,12.4,13.09,-27.64,-38.91,-27.54,-38.77,-27.92,-39.01
"2021-02-27 00:00:00",1137,12.35,13.64,-34.2,-39.79,-32.66,-39.56,-33.45,-39.69
"2021-02-28 00:00:00",1138,12.47,14.36,-33.07,-39.79,-31.02,-39.56,-33.07,-39.69
"2021-03-01 00:00:00",1139,12.51,15.42,-33.58,-39.79,-32.79,-39.56,-33.31,-39.69
"2021-03-02 00:00:00",1140,12.53,13.39,-30.92,-36.79,-30.07,-36.72,-31.06,-36.92
"2021-03-03 00:00:00",1141,12.5,13.54,-35.35,-39.25,-34.77,-38.87,-35.29,-39.32
"2021-03-04 00:00:00",1142,12.48,14.64,-30.58,-39.69,-29.18,-39.52,-29.35,-39.69
"2021-03-05 00:00:00",1143,12.5,15.23,-10.38,-35.97,-10.41,-35.56,-10.69,-35.97
"2021-03-06 00:00:00",1144,12.59,12.95,-8.21,-19.04,-8.27,-19.44,-8.48,-19.62
"2021-03-07 00:00:00",1145,12.55,13.7,-11.89,-20.23,-11.86,-21.29,-12.1,-20.91
"2021-03-08 00:00:00",1146,12.6,14.31,-10.4,-23.12,-10.87,-23.32,-11.04,-23.63
"2021-03-09 00:00:00",1147,12.65,13.39,0.884,-10.43,0.578,-10.88,0.34,-10.98
"2021-03-10 00:00:00",1148,12.63,13.68,-0.034,-18.02,-0.34,-19.11,-0.408,-19.01
"2021-03-11 00:00:00",1149,12.66,13.8,-10.04,-25.26,-9.67,-24.75,-10.08,-25.2
"2021-03-12 00:00:00",1150,12.62,15.55,-25.26,-32.76,-24.48,-32.79,-25.13,-33.24
"2021-03-13 00:00:00",1151,12.68,15.62,-21.48,-36.65,-21.99,-36.65,-22.13,-36.99
"2021-03-14 00:00:00",1152,12.68,15.27,-10.48,-23.25,-10.13,-23.39,-11.22,-23.69
"2021-03-15 00:00:00",1153,12.7,15.1,-8.82,-19,-8.58,-19.61,-8.82,-19.58
"2021-03-16 00:00:00",1154,12.72,15.31,-13.22,-24.25,-12.17,-24.72,-12.82,-24.86
"2021-03-17 00:00:00",1155,12.71,15.31,-15.24,-24.51,-14.56,-24.68,-15.07,-24.92
"2021-03-18 00:00:00",1156,12.72,15.34,-15.13,-23.09,-14.18,-23.26,-14.52,-23.56
